cluster_number,movie_indices
10,"15,62,120,138,171,179,398,408,417,419,553,554,666,676,717,770,806,809,877,882,909,927,929,1025,1050,1107,1125,1130,1151,1209,1340,1365,1488,1597,1827,1842,1855,1920,1930,2149,2253,2454,2455,2506,2593,2739,2763,2859,2977,3081,3106,3128,3179,3185,3363,3555,3611,3685,3690,3695,3699,3719,3747,3760,3843,3903,3913,4060,4093,4112,4218,4230,4237,4277,4351,4372,4549,4574,4683,4831,4848,4952,5142,5160,5227,5269,5303,5426,5575,5656,5713,5739,5759,5884,5906,6335,6499,6723,6810,6909,7011,7063,7090,7129,7184,7201,7205,7236,7287,7291,7297,7370,7477,7523,7599,7600,7710,7736,7829,7846,7875,7940,7985,8116,8117,8127,8136,8266,8280,8300,8329,8469,8478,8528,8533,8599,8670,8720,8864,8919,9070,9137,9224,9290,9306,9314,9402,9405,9458,9474,9489,9531,9639,9682,9726,9734,9743,9753,9877,9910,9973,10018,10248,10330,10428,10472,10499,10617,10675,11138,11293,11304,11412,11602,11653,11689,11704,11722,11804,11939,11944,11968,11970,12000,12023,12227,12258,12298,12374,12419,12572,12644,12649,12920,12944,13111,13430,13645,13698,13894,13915,14044,14272,14309,14328,14787,14852,14870,15166,15283,15348,15355,15485,15567,15626,15653,15669,15685,15703,15704,15798,15835,16048,16057,16078,16415,16424,16521,16739,16793,16857,16954,17121,17205,17273,17381,17596,17948,18079,18082,18095,18165,18671,18761,18822,19093,19112,19120,19122,19123,19124,19198,19322,19650,19836,20058,20094,20317,20403,20464,20783,21099,21289,21356,21538,21815,22560,22742,22887,23579,23734,23821,23861,23876,24019,24041,24210,24596,24912,24965,24989,25214,25247,25764,26051,26225,26479,26794,26951,26983,27323,27803,28977,29128,29129,29872,29991,30086,30877,30949,31006,31416,31419,31573,31644,31681,31762,31807,32183,32364,32533,33330,33370,33629,33674,33704,33705,34176,34261,34365,34478,34589,34618,34847,35481,36532,37089,38055,38469,39095,39179,39263,39485,40280,41088,41179,41501,42149,42641,42762,43055,43497,43566,43601"
11,"18,121,589,732,751,847,1064,1186,1338,1971,2273,2500,3661,4425,4468,4710,4955,4993,5156,5218,5940,5942,6213,6428,6675,7102,7131,7137,7233,7304,7426,7536,7650,7703,7738,7740,7754,7848,8238,8366,8511,9365,9377,9579,9605,9650,9669,9802,10161,10231,10346,10417,10509,10559,10794,11202,11301,11815,11831,11888,11952,11963,12039,12927,13053,13532,13808,13954,14119,14152,14164,14285,14365,14410,14691,14808,14973,15674,15714,15717,15725,15824,16066,16400,16633,16913,17184,17952,18627,18683,18734,18927,18952,19006,19279,19677,20025,20055,20228,20709,20923,21025,21311,21479,21485,21588,21681,21718,21967,22014,22557,23221,23261,23406,23648,23705,23779,24324,24431,24490,24616,25345,25511,25585,25865,26081,26219,26578,26720,26723,26881,26936,27085,27116,27190,27553,28168,28427,28725,28811,29251,29252,29486,29607,29639,29653,29676,30449,30923,31300,31669,31694,31709,31987,32237,32263,32266,32882,32911,32956,33642,33820,33821,33974,34092,34165,34198,34405,34431,34559,34675,34762,34793,34891,35391,35900,35961,36860,37513,37758,37866,38061,38611,38655,38677,38939,39218,39236,39450,40062,40234,40689,40834,40839,41434,41743,42103,42463,42787,42789,42890,42929,43140,43233,43246,43555,43622"
12,"19,56,112,144,198,405,436,893,1136,1193,1279,1298,1694,2090,2203,2461,3268,3315,3753,3814,4125,4182,4429,4473,4495,4521,4535,4553,4578,4592,4594,4616,4636,4640,4644,4734,4739,4751,4836,4844,4901,4913,4921,4922,4927,4988,5000,5019,5032,5072,5113,5127,5194,5222,5285,5292,5346,5454,5468,5489,5544,5545,5566,5570,5571,5597,5615,5618,5632,5676,5787,5793,5944,5953,5958,5968,5982,5987,6002,6036,6231,6330,6340,6424,6522,6591,6666,6812,6814,6826,6971,6994,7099,7190,7197,7320,7506,7617,7869,7887,8072,8158,8159,8161,8259,8281,8292,8314,8394,8411,8449,8556,8572,8651,8824,9258,9396,9423,9664,9690,9812,9830,9832,9996,10046,10247,10275,10476,10548,10694,10945,11063,11090,11450,11456,11472,11800,11929,12171,12178,12273,13018,13215,13567,13585,14165,15989,16780,16911,17102,17165,18461,18589,18663,18708,18814,19029,19238,19348,19444,20102,20459,20470,20733,20983,21165,21536,21828,22085,22368,22983,23164,24384,24639,24926,25229,25366,25411,25557,26834,27710,28270,28587,28938,29460,29505,29575,29604,29849,29901,29976,30025,30500,30545,31153,31351,31496,31572,31748,31760,32025,32273,32924,33224,33599,34560,35022,36237,36260,36675,36980,36985,37149,37286,37971,38447,38665,39339,40617,40679,40887,41313,41662,42024,42041,42535,42672,42840,42939,42949,43214,43226,43666"
13,
14,"24,218,233,3464,3680,3952,6486,7394,8110,8180,8222,8261,8269,8429,9166,9513,9585,9699,9761,10263,10388,10455,10568,10614,11105,11127,11247,11255,11270,11458,11692,11711,11823,11878,12154,12241,12292,12512,12513,12609,12686,12766,12900,13078,13116,13216,13440,13473,13573,13784,13913,14005,14204,14271,14351,14515,14525,14557,14639,14657,14856,14873,14940,15119,15206,15227,15248,15275,15395,15487,15560,15884,15982,16054,16138,16157,16182,16247,16338,16471,16607,16692,16786,16955,17277,17339,17545,17701,17707,17794,17944,18500,18506,18545,18669,18903,19172,19927,20396,20398,20486,20599,20730,20738,20787,21290,21383,21497,21697,22083,22658,22728,22795,23518,23551,24356,24357,25068,25957,26071,26272,26341,26452,26767,26799,27070,27241,27395,27602,27688,27809,28919,29595,30160,31165,31804,31882,32419,32603,32735,32977,32979,33675,33683,34202,34839,34890,35388,36275,36284,36594,36726,37025,37389,37563,37708,38627,38809,38846,39181,39454,39702,39718,39871,39938,40332,40532,41283,41643,41848,41934,42355,42661,43138,43183,43502,43660"
15,"25,469,1995,2694,2969,3040,3225,3322,3568,3767,4401,4581,5375,5864,5893,5918,5973,5981,6056,6057,6066,6187,6212,6233,6293,6515,6778,6792,6830,6852,6883,6963,6964,6976,7110,7111,7247,7328,7376,7452,7581,7711,7933,7945,8005,8043,8070,8081,8108,8126,8203,8232,8527,8535,8574,8605,8665,8735,8800,8948,9160,9226,9244,9262,9414,9416,9429,9509,9510,9529,9546,9553,9588,9698,9943,10007,10681,11568,11670,11775,12130,12187,12260,12380,12630,12675,12727,12740,12915,13167,13177,13200,13209,13263,13307,13477,13580,13736,13803,14068,14148,14201,14319,14368,14507,14656,15058,15103,15458,15515,15565,16082,16092,16213,16345,16350,16492,16554,16699,16826,16973,17164,17215,17461,17673,17738,17740,17743,17926,18113,18267,18403,18648,18702,18748,18772,18790,18956,18984,19061,19067,19126,19544,19642,19905,19907,19951,20129,20533,20642,20740,20742,20850,21071,21073,21513,21799,22227,22250,22301,22794,22836,22977,23160,23637,23862,23965,23981,24021,24083,24311,24818,24833,24848,25003,25375,25538,25542,25618,25689,25726,25888,25989,26351,26356,26503,26824,26832,27370,27396,27807,28524,28566,28652,28802,28903,30042,30683,31188,31386,31566,31766,32201,32411,33086,33586,33615,33749,33777,33781,33908,34214,34665,35188,35398,35727,35857,36758,36843,37147,37176,37454,38004,38119,38866,39075,40170,40837,41031,41627,41917,42016,42769,43504"
16,"29,392,1733,4176,4533,4647,4846,5016,5161,5526,5534,5554,5771,5786,6081,6300,6613,6714,6847,7018,7150,7329,7461,7566,7922,7939,8475,8562,8781,8985,9164,9207,9345,9386,9471,9644,9724,9871,9960,10616,10657,10664,10811,11846,11975,12138,12434,12466,12631,12656,12725,12958,13048,13241,13375,13414,13496,13549,14190,14369,14586,14768,15253,15402,15456,16142,16282,16336,17209,19163,20208,21134,21166,21772,21825,22630,24090,25001,25305,25309,25468,25894,27017,27741,28035,28654,28681,28748,28842,29145,29583,32628,33328,33792,37105,37128,37492,38572,40134,41879,42084,42127,42250,42647,43171,43261"
17,"31,78,127,132,195,410,530,2582,2633,3777,4440,4442,4499,4546,4556,4599,4603,4657,4674,4719,4755,4759,4768,4793,4829,4914,4934,4990,5064,5077,5116,5135,5169,5186,5187,5317,5379,5501,5523,5524,5563,5590,5696,5746,5754,5773,5809,5828,5831,6025,6029,6373,6378,6381,6394,6494,6628,6639,6660,6763,6771,6813,6868,6974,7170,7216,7279,7314,7369,7554,7817,7949,7951,8010,8028,8054,8088,8134,8140,8179,8216,8287,8590,8613,8681,8753,8905,8920,8978,9010,9038,9072,9073,9090,9171,9197,9211,9212,9241,9257,9333,9347,9409,9446,9461,9466,9488,9519,9578,9629,9696,9747,9798,9813,9823,9966,10025,10323,10537,10869,10994,11115,11172,11208,11229,11302,11680,11683,11699,11844,11933,12085,12148,12151,12281,12330,12348,12636,12668,12895,13179,13439,13451,13544,14142,14242,14409,14494,14629,15368,15418,15541,16016,16017,16134,16135,16184,16388,16394,16584,16687,16737,16899,16903,16929,16937,17072,17261,17588,17700,18164,18232,18479,18510,18562,18579,18714,18745,18752,18808,18841,19117,19323,19487,19511,19838,20640,20652,20911,20912,21122,21884,22447,22451,22634,22674,22732,22951,23095,23201,23223,23249,23791,23833,24253,24405,24701,24760,24863,25778,25803,25854,25863,26108,26174,26323,26451,26587,26724,26734,26800,27066,27633,27717,27944,28215,28538,28778,29083,29361,29374,30234,30240,30426,30716,30873,31026,31088,31531,31985,33000,33051,34466,34488,34823,35108,35163,35340,36070,37137,38128,38431,38739,38867,39189,39362,39458,40019,40073,40091,40258,40281,40534,40702,41073,41971,42640,43459"
18,"32,115,134,170,241,403,406,727,974,1014,1055,1074,1504,3158,3670,4542,4680,4842,4858,4938,5082,5092,5273,5350,5351,5365,5410,5587,5716,5824,5835,5858,5912,5977,5992,6068,6156,6445,6559,6642,6758,6790,6918,7019,7062,7120,7134,7156,7195,7415,7465,7496,7532,7632,7658,7663,7830,7862,7874,7937,7998,8139,8184,8504,8625,8738,9034,9081,9188,9200,9437,9507,9563,9624,9689,9723,9762,9792,10012,10014,10151,10216,10282,10291,10327,10466,10470,10560,10593,10620,10700,10714,10719,10787,10801,11278,11480,11677,11920,11923,12579,12807,12851,12903,12951,13219,13335,13371,13385,13716,14020,14052,14149,14198,14263,14265,14273,14280,14612,14689,14695,14731,14832,14976,15082,15295,15469,15582,15786,16003,16099,16117,16223,16546,16550,16589,16608,16684,17266,17338,17357,17913,17922,17972,18282,18447,18501,18629,19076,19118,19405,19514,19643,19860,21337,21931,22207,22748,22975,23136,23153,23827,24299,24552,24555,24560,24615,24861,24974,25336,25397,25712,25812,26286,26493,26856,27937,28010,28360,31104,31156,31381,33196,33344,33444,34139,34630,34746,34967,35503,36917,37259,37273,37809,38331,40168,41208,41263,41916,42063,42147,42171,42226,42529,42716,42758,43297"
19,"37,43,128,471,525,1264,1542,1570,1650,2128,2537,2564,2649,2691,2929,3184,3205,4545,4600,4830,5089,5120,5162,5623,6035,6236,7101,7215,7282,7458,7510,8133,8150,8318,8378,8476,8502,8564,8728,8817,8840,9095,9320,9340,9401,9477,9549,9884,10205,10504,10697,10823,10856,11225,11340,11386,12228,12276,12365,12407,12617,12901,13105,13499,14565,14902,15051,16956,17734,18309,19125,19253,20221,20534,20610,20620,22177,22486,23549,23580,24008,24169,24829,25095,25131,25207,25521,26327,26342,26344,26406,26413,26421,26532,26781,27380,30149,30242,30798,31936,31975,32110,33519,33579,36647,37141,38085,38240,38275,38865,39396,39646,42518,42611,42727"
20,"38,73,87,111,123,126,130,155,176,192,210,211,252,254,255,272,276,298,299,314,338,356,364,372,453,466,476,485,487,488,496,501,506,507,522,524,582,584,588,600,750,756,760,851,886,903,904,905,906,943,960,962,963,967,968,987,999,1004,1008,1019,1031,1044,1046,1047,1082,1156,1159,1222,1229,1254,1270,1280,1288,1307,1311,1331,1378,1397,1414,1426,1429,1442,1453,1680,1698,1701,1722,1743,1777,1847,1852,1908,1921,1956,1969,2052,2131,2137,2151,2213,2228,2280,2311,2343,2355,2388,2436,2437,2503,2539,2546,2590,2592,2668,2743,2789,2794,2833,2855,2932,2985,2994,3037,3067,3090,3115,3120,3166,3204,3223,3242,3279,3320,3345,3348,3360,3364,3386,3387,3392,3420,3437,3465,3490,3496,3498,3543,3550,3553,3556,3578,3593,3638,3639,3643,3655,3739,3746,3862,3883,3900,3932,3943,3978,3981,3986,4029,4146,4289,4298,4304,4329,4333,4356,4403,4416,4428,4439,4447,4459,4469,4490,4515,4528,4540,4544,4561,4604,4625,4633,4648,4659,4691,4693,4697,4713,4727,4728,4736,4740,4743,4764,4785,4788,4801,4828,4892,4910,4936,4939,4943,4956,4961,4967,4981,4984,4985,4994,5045,5049,5056,5063,5081,5087,5101,5104,5122,5128,5140,5144,5154,5164,5167,5197,5214,5228,5231,5236,5244,5262,5272,5279,5288,5311,5316,5322,5327,5333,5335,5338,5354,5363,5364,5372,5374,5383,5403,5404,5411,5414,5422,5438,5439,5452,5467,5472,5473,5486,5512,5515,5521,5548,5550,5578,5585,5588,5609,5611,5612,5614,5664,5679,5684,5686,5700,5732,5735,5750,5756,5763,5764,5785,5795,5829,5833,5834,5863,5868,5870,5877,5882,5883,5887,5888,5892,5900,5911,5913,5928,5933,5954,5956,5962,5967,5985,6017,6034,6037,6038,6049,6051,6069,6072,6077,6091,6103,6113,6123,6136,6147,6168,6176,6181,6184,6190,6214,6223,6225,6229,6248,6255,6267,6268,6269,6270,6276,6289,6309,6311,6336,6357,6382,6407,6420,6451,6457,6492,6501,6506,6509,6511,6529,6539,6582,6598,6599,6601,6632,6653,6704,6715,6735,6752,6768,6769,6775,6777,6781,6784,6820,6833,6892,6898,6903,6908,6919,7006,7023,7026,7035,7044,7049,7064,7073,7104,7125,7127,7148,7154,7155,7172,7187,7189,7218,7219,7268,7269,7273,7290,7295,7302,7309,7313,7331,7353,7354,7355,7356,7371,7374,7377,7460,7487,7565,7567,7589,7598,7690,7750,7873,7931,7978,7981,7983,7992,8019,8041,8085,8105,8196,8227,8257,8286,8315,8362,8419,8423,8443,8444,8450,8466,8480,8485,8486,8489,8520,8531,8604,8610,8698,8724,8743,8752,8762,8764,8767,8786,8799,8803,8806,8818,8829,8831,8839,8869,8875,8877,8892,8906,8917,8929,8951,8961,8975,8991,8992,9000,9017,9032,9033,9051,9084,9091,9106,9109,9117,9123,9126,9138,9146,9225,9227,9237,9272,9312,9343,9346,9381,9438,9445,9500,9508,9539,9567,9570,9610,9612,9622,9643,9646,9654,9661,9670,9766,9771,9780,9800,9803,9831,9839,9882,9894,9931,9948,9974,9978,9999,10008,10026,10055,10062,10097,10099,10125,10189,10207,10296,10328,10336,10349,10365,10366,10375,10381,10404,10414,10449,10467,10474,10513,10518,10534,10555,10563,10644,10669,10670,10703,10730,10781,10784,10785,10799,10827,10832,10833,10871,10917,10933,10951,11008,11055,11056,11060,11109,11116,11145,11191,11196,11214,11234,11240,11323,11337,11367,11368,11379,11392,11407,11419,11434,11465,11479,11514,11537,11542,11546,11587,11611,11617,11660,11684,11691,11705,11739,11763,11779,11802,11817,11859,11869,11879,11887,11890,11896,11897,11902,11911,11988,12021,12095,12113,12195,12237,12238,12261,12369,12389,12412,12422,12470,12505,12526,12536,12574,12598,12611,12706,12712,12714,12739,12827,12859,12861,12898,12922,13014,13068,13081,13086,13088,13143,13153,13176,13183,13189,13195,13213,13316,13348,13364,13458,13504,13506,13520,13594,13595,13605,13631,13678,13806,13807,13856,13869,13924,13945,14028,14045,14168,14182,14219,14241,14361,14418,14426,14446,14495,14504,14538,14547,14590,14634,14722,14841,14846,14858,14859,15056,15060,15122,15124,15196,15210,15217,15224,15240,15270,15276,15280,15313,15317,15370,15405,15426,15471,15512,15519,15603,15612,15654,15700,15722,15760,15825,15870,15978,16004,16014,16036,16039,16064,16149,16170,16199,16251,16368,16379,16493,16567,16576,16581,16590,16594,16617,16621,16630,16691,16695,16736,16760,16772,16880,16905,17022,17104,17105,17127,17140,17148,17152,17188,17207,17210,17211,17216,17376,17379,17396,17433,17438,17497,17508,17526,17597,17609,17660,17708,17730,17750,17770,17857,17871,17928,17942,17943,17955,17961,17999,18014,18114,18140,18168,18186,18212,18236,18239,18244,18270,18365,18370,18436,18469,18502,18512,18526,18542,18565,18698,18741,18758,18781,18797,18802,18820,18866,18933,18964,18976,18987,18989,19028,19082,19109,19170,19191,19192,19203,19205,19213,19394,19395,19527,19581,19610,19633,19645,19708,19751,19756,19768,19827,19872,19902,19929,20024,20027,20104,20127,20232,20242,20315,20384,20389,20451,20493,20505,20506,20647,20673,20718,20772,20815,20817,20848,20920,21045,21069,21082,21104,21135,21158,21345,21346,21349,21517,21524,21541,21575,21605,21624,21658,21703,21714,21722,21760,21878,21958,22002,22033,22036,22088,22162,22224,22229,22283,22332,22403,22421,22437,22464,22537,22594,22627,22704,22781,22935,22962,22966,22988,23032,23074,23108,23110,23142,23189,23191,23262,23276,23288,23463,23595,23660,23704,23709,23722,23762,23982,23983,24005,24112,24163,24238,24263,24264,24273,24298,24374,24424,24425,24489,24542,24554,24586,24648,24698,24716,24720,24740,24757,24801,24802,24870,24873,24895,24920,24929,24946,25201,25356,25494,25599,25873,25874,25904,25905,25907,25961,25965,25974,26059,26117,26120,26122,26157,26238,26294,26330,26346,26427,26434,26555,26596,26752,26787,27105,27111,27219,27342,27372,27428,27555,27604,27619,27663,27684,27778,27796,27873,28016,28134,28148,28160,28193,28199,28200,28218,28237,28243,28261,28297,28349,28368,28413,28416,28565,28576,28659,28785,28826,28830,28879,28909,29005,29062,29098,29158,29198,29286,29359,29360,29410,29449,29470,29549,29572,29577,29600,29636,29675,29698,29738,29791,29892,29955,29957,29978,30051,30061,30068,30082,30083,30088,30193,30349,30466,30488,30489,30554,30572,30584,30630,30671,30737,30954,30986,30991,31065,31095,31110,31263,31267,31292,31329,31400,31424,31472,31476,31507,31654,31670,31672,31693,32105,32172,32214,32241,32414,32434,32529,32530,32545,32560,32741,32770,32775,32803,32860,32870,32922,32971,32984,33016,33038,33093,33110,33148,33186,33193,33229,33230,33233,33249,33251,33255,33257,33339,33423,33654,33697,33817,33913,34010,34037,34053,34082,34089,34105,34413,34451,34452,34507,34549,34610,34705,34736,34738,34775,34825,34833,34863,34936,35008,35019,35074,35247,35253,35294,35332,35433,35511,35691,35795,35856,35876,36009,36046,36100,36111,36121,36196,36240,36241,36323,36488,36525,36732,36750,36806,36857,36942,36945,36969,36988,37076,37097,37242,37243,37325,37395,37397,37449,37499,37524,37614,37676,37717,37764,38086,38218,38367,38384,38418,38515,38544,38559,38595,38615,38656,38679,38687,38770,38778,38812,38886,38921,38923,38925,39353,39368,39543,39743,39987,39997,40030,40042,40093,40124,40226,40237,40259,40276,40419,40457,40612,40688,40709,40831,40832,40853,40862,40869,40892,40907,40991,40999,41096,41116,41181,41458,41565,41863,41902,41967,42033,42035,42064,42080,42104,42116,42134,42151,42166,42206,42207,42231,42290,42357,42381,42449,42480,42494,42538,42554,42557,42568,42572,42579,42643,42655,42707,42729,42741,42749,42773,42794,42824,42864,42912,42928,42962,43020,43056,43079,43105,43124,43139,43192,43201,43204,43209,43231,43250,43282,43289,43315,43326,43330,43336,43357,43385,43404,43407,43416,43419,43423,43432,43435,43443,43449,43495,43527,43546,43558,43582,43608,43672,43676,43695,43698,43699,43726"
21,"39,291,301,694,900,947,950,971,1002,1129,1133,1502,1505,2248,2442,2589,3116,3590,3839,4178,4621,4651,5022,6800,8106,8208,8210,8618,8815,8888,8967,10423,12099,12314,13772,13896,14933,15881,16705,18219,19018,19718,21010,21606,23832,24075,26889,28727,30728,30921,31692,32710,34091,36703,40248,40756,41704"
22,"40,64,110,117,202,225,245,247,248,253,274,277,278,294,296,325,369,381,422,438,455,462,470,498,518,519,578,598,599,619,641,650,651,654,655,670,710,726,768,773,807,864,883,894,902,919,955,965,980,982,986,994,995,1007,1011,1041,1056,1072,1084,1099,1105,1109,1119,1166,1177,1191,1213,1217,1228,1234,1237,1242,1260,1294,1321,1322,1327,1348,1352,1357,1359,1382,1385,1428,1437,1446,1447,1457,1459,1482,1496,1497,1501,1510,1522,1540,1550,1607,1608,1651,1666,1677,1690,1715,1747,1749,1753,1757,1763,1786,1792,1793,1794,1850,1851,1859,1866,1868,1872,1883,1884,1909,1948,1958,1963,1968,1993,1996,2009,2030,2051,2053,2158,2192,2215,2279,2284,2354,2363,2396,2408,2425,2457,2475,2479,2480,2498,2505,2511,2549,2580,2597,2598,2601,2604,2636,2670,2692,2708,2719,2730,2744,2749,2750,2753,2755,2758,2762,2803,2812,2821,2823,2854,2889,2908,2922,2959,2970,2971,2983,3013,3020,3039,3043,3049,3062,3077,3129,3135,3139,3147,3190,3194,3273,3293,3317,3319,3340,3355,3362,3377,3379,3393,3394,3401,3403,3404,3415,3419,3440,3472,3497,3538,3541,3565,3569,3582,3598,3599,3603,3605,3610,3632,3650,3662,3671,3694,3708,3716,3729,3749,3750,3773,3775,3779,3790,3793,3801,3812,3826,3830,3857,3858,3885,3886,3890,3897,3898,3905,3920,3941,3973,3975,3979,4056,4097,4107,4108,4132,4137,4160,4162,4163,4168,4185,4214,4219,4221,4245,4269,4275,4293,4301,4310,4325,4332,4360,4361,4363,4367,4369,4381,4382,4414,4487,4492,4575,4665,4709,4720,4898,4995,5510,5561,5596,5626,5669,5925,5939,6020,6153,6172,6175,6210,6256,6310,6332,6391,6444,6456,6512,6535,6617,6686,6699,6748,6755,6760,6787,6799,6832,6869,6904,6945,6952,6973,7058,7113,7114,7167,7174,7177,7224,7227,7301,7345,7387,7440,7457,7492,7497,7542,7602,7622,7669,7672,7674,7741,7811,7814,7822,7858,7859,7864,7867,7900,7916,7956,8153,8155,8157,8177,8220,8229,8346,8359,8424,8436,8451,8483,8501,8565,8571,8609,8652,8677,8680,8741,8746,8750,8759,8823,8825,8851,8895,8902,8936,8942,8943,8994,9025,9026,9114,9134,9147,9206,9223,9242,9246,9247,9291,9292,9303,9304,9334,9339,9348,9357,9383,9390,9410,9422,9460,9505,9536,9550,9558,9614,9653,9704,9729,9916,10023,10136,10147,10190,10192,10202,10223,10239,10242,10252,10266,10267,10270,10284,10289,10294,10303,10322,10331,10339,10357,10367,10370,10387,10407,10425,10435,10452,10458,10471,10535,10579,10585,10623,10632,10633,10636,10663,10665,10678,10684,10699,10713,10716,10720,10723,10729,10746,10758,10761,10773,10779,10788,10796,10804,10817,10826,10835,10902,10905,10912,10972,10979,11022,11026,11110,11122,11134,11158,11175,11193,11217,11223,11281,11295,11318,11330,11332,11335,11361,11380,11441,11451,11452,11461,11469,11484,11489,11490,11502,11508,11532,11549,11586,11613,11615,11626,11645,11646,11649,11657,11669,11690,11696,11700,11728,11784,11837,11854,11864,11868,11873,11881,11889,11893,11904,11932,11960,11982,11989,12010,12029,12032,12044,12067,12069,12089,12114,12139,12160,12172,12180,12212,12214,12229,12282,12289,12320,12331,12373,12388,12516,12558,12634,12635,12680,12717,12775,12863,12886,12889,12902,12905,12909,12919,12930,12935,12954,12968,12973,12992,13007,13031,13059,13096,13202,13233,13235,13249,13253,13254,13272,13289,13320,13367,13453,13471,13487,13498,13657,13688,13706,13734,13768,13786,13836,13867,13889,13953,14025,14050,14055,14150,14174,14381,14401,14450,14458,14517,14609,14615,14652,14671,14743,14755,14778,14785,14913,14920,14957,14959,14972,14999,15001,15022,15033,15046,15085,15092,15108,15109,15116,15127,15132,15140,15141,15150,15167,15219,15221,15293,15306,15526,15563,15627,15635,15699,15729,15751,15753,15804,15818,15924,15932,15965,15979,15996,16008,16024,16085,16125,16132,16161,16197,16218,16273,16305,16322,16377,16380,16439,16447,16461,16516,16523,16534,16563,16564,16620,16635,16643,16671,16697,16702,16723,16732,16942,16950,16980,17069,17123,17129,17131,17222,17244,17260,17310,17315,17319,17320,17348,17350,17455,17460,17495,17539,17546,17587,17624,17768,17868,17878,17911,17960,17988,18022,18061,18076,18100,18301,18359,18375,18402,18431,18432,18451,18498,18499,18553,18709,18737,18739,18762,18765,18774,18775,18779,18780,18882,19041,19045,19318,19330,19336,19339,19350,19391,19400,19507,19509,19519,19533,19582,19653,19698,19712,19720,19778,19819,19824,19825,19849,19873,19880,19928,20016,20029,20056,20075,20105,20128,20154,20301,20376,20386,20513,20568,20649,20656,20657,20749,20861,20864,20955,20961,20986,21017,21062,21147,21189,21338,21355,21372,21385,21389,21395,21540,21551,21717,21731,21754,21774,21924,21969,21995,21996,22023,22029,22150,22194,22278,22282,22339,22346,22347,22356,22418,22487,22510,22541,22650,22711,22816,22839,22857,22874,22936,22973,23075,23078,23085,23090,23244,23315,23355,23379,23424,23480,23486,23493,23540,23543,23548,23644,23672,23698,23718,23857,23867,23919,24059,24177,24180,24213,24407,24418,24652,24684,24782,24945,25076,25107,25324,25351,25407,25574,25586,25616,25635,25657,25674,25824,25837,25878,25933,26015,26023,26099,26105,26113,26197,26274,26376,26453,26467,26546,26577,26700,26769,26789,26828,26869,26904,27009,27040,27061,27202,27341,27388,27436,27437,27590,27597,27653,27720,27727,27728,27763,27815,27919,27949,27953,28021,28034,28083,28109,28164,28238,28264,28353,28373,28400,28407,28431,28463,28555,28643,28647,28744,28813,28815,28819,28922,29049,29087,29140,29175,29211,29229,29349,29389,29413,29433,29477,29651,29685,29710,29750,29764,29917,29941,30006,30080,30093,30139,30140,30141,30222,30236,30299,30408,30414,30444,30446,30451,30452,30557,30559,30599,30721,30854,30887,30919,30942,31077,31108,31222,31232,31271,31373,31402,31406,31624,31664,31688,31713,31731,31737,31854,31857,31867,31923,31991,32010,32101,32301,32371,32406,32451,32452,32510,32550,32619,32666,32760,32917,32936,32976,32982,33134,33161,33194,33202,33269,33333,33417,33439,33591,33684,33731,33948,33953,33955,33960,33990,34022,34243,34291,34309,34326,34328,34396,34435,34440,34489,34522,34574,34597,34659,34683,34697,34702,34704,34768,34769,34856,34857,34886,34949,35017,35113,35217,35467,35470,35594,35631,35681,35834,36040,36052,36142,36195,36274,36339,36372,36380,36384,36421,36430,36434,36491,36502,36503,36505,36571,36638,37028,37119,37294,37457,37565,37656,37746,37771,37782,37789,37802,38131,38244,38282,38283,38407,38497,38537,38716,38744,38948,39003,39006,39008,39080,39103,39172,39197,39229,39293,39313,39331,39356,39358,39378,39444,39620,39624,39632,39640,39657,39673,39676,39796,40023,40116,40147,40181,40277,40334,40374,40417,40428,40487,40512,40513,40584,40601,40602,40671,40690,40857,40873,40977,41107,41206,41224,41289,41407,41408,41547,41598,41652,41669,41705,41783,41832,41901,41990,42148,42187,42225,42232,42268,42300,42320,42343,42346,42414,42479,42513,42523,42528,42544,42570,42598,42686,42793,42879,42894,42988,43131,43195,43223,43270,43279,43287,43292,43368,43439,43462,43479,43491,43513,43524,43526,43539"
23,"52,4564,4812,5023,5274,5441,5579,5776,7558,8320,8413,8425,8802,9597,9886,9934,10115,11210,11482,11681,12165,12876,13426,13740,13758,13917,14237,14650,14666,16173,16463,20732,20753,21023,21400,22398,23021,25428,26682,29300,29885,31499,31606,33526,34286,35051,35676,37595,42126,42915,43094,43390"
24,"55,648,1189,4400,4405,4518,4577,4637,4692,4696,4741,4799,4841,4979,5358,5377,5387,5400,5412,5449,5532,5568,5646,5960,6047,6111,6174,6189,6314,6397,6440,6449,6466,6470,6586,6636,6691,6692,6782,6804,7303,7391,7396,7641,7695,7797,7856,7886,8004,8087,8128,8137,8149,8440,8465,8493,8587,8682,8819,9045,9526,9652,9760,9783,9890,10211,10743,10756,10800,10910,11103,11121,11195,11246,11259,11277,11284,11382,11387,11394,11585,11623,11688,11706,11727,11731,11735,11738,11748,11838,11876,11962,12048,12106,12112,12217,12225,12230,12351,12663,13101,13431,14499,14742,16123,16200,16391,16402,16593,16867,16928,17625,19358,19682,22654,27554,27622,27918,28594,28696,34728,36692,37000,38290,39386,42403,42489,42760,43137,43730"
25,"59,8400,15482,16788,17405,17603,18125,18444,19870,20093,22597,24693,25031,27084,29555,31513,32713,33635,35355,35476,35558,36112,36616,37072,38614,41258,42684,42689"
